IDENTIFIKATOR_KLIJENTA,DOB,VRSTA_ZAPOSLENJA,SEGMENT,PRIORITY_SCORE,CLV_SCORE,CHURN_RISK,FUTURE_POTENTIAL,RANG_PONUDE,PROIZVOD,RAZLOG,ZARADA_BANKE,KANAL,PONUDA_SCORE
M4SFXIXZKPDE,46,ZAPOSLEN,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
M2MC07RY2NCZ,39,ZAPOSLEN,RAZVIJAJ,22.1,4.6,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
EI9RSRNR61Z2,45,OSTALO,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
YMQBOUYV6Z2N,80,UMIROVLJENIK,ODRŽAVAJ,22.1,30.7,20.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
F19STE0JCJ5E,57,ZAPOSLEN,RAZVIJAJ,22.1,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
WX21LI2MQH6X,42,ZAPOSLEN,RAZVIJAJ PREMIUM,22.1,10.3,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
Q6CKQZGWK5HH,58,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
IO3XW6XYZ5PS,48,OSTALO,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
OHVBU89LRGBD,50,OSTALO,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
ZMKLPCK9V0K1,41,OSTALO,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
47XBSOLU4XRJ,52,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
L9HM0LKKI5V8,32,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
XR9067CM34PW,53,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
EYK7AHQKE4UC,47,ZAPOSLEN,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
H23JIUXUMHPO,51,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
HY5A9EBG89PR,39,ZAPOSLEN,RAZVIJAJ,22.1,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
PQMHZ4ASEZ7S,40,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
IH0NRHLU5R7E,48,OSTALO,RAZVIJAJ PREMIUM,22.1,10.4,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
8CNHVHU20OKW,36,NEZAPOSLEN,RAZVIJAJ,22.1,6.0,20.0,48.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
ZBGD20IHLCWE,59,ZAPOSLEN,RAZVIJAJ,22.1,4.5,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
OYE2UWJN7RBO,66,ZAPOSLEN,RAZVIJAJ PREMIUM,22.1,23.9,6.8,44.0,2,Oročeni depozit — viša kamatna stopa,"Slobodna sredstva 2,909€",Stabilizacija pasive,HPB mobilna aplikacija,75
VBMW43CCBU6T,83,UMIROVLJENIK,ODRŽAVAJ,22.1,39.1,0.2,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 3,742€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,46
PUUN351ATYEW,50,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
PKV3R058IGP6,46,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
JLF71Z8O29A9,43,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
XDHR7MJMCXL6,42,ZAPOSLEN,RAZVIJAJ PREMIUM,22.0,10.7,20.0,41.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
OB005B7KNZU3,39,ZAPOSLEN,RAZVIJAJ,22.0,4.3,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
YBYD0HD2FTKT,52,ZAPOSLEN,RAZVIJAJ,22.0,4.2,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
XKE08O4O714C,54,ZAPOSLEN,RAZVIJAJ,22.0,4.3,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
8K42ZFOKBI0I,86,UMIROVLJENIK,ODRŽAVAJ,22.0,25.1,20.0,21.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 23 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
S2NIAEFCLCCL,32,NEZAPOSLEN,RAZVIJAJ PREMIUM,22.0,27.2,1.3,48.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
0ZKL47VYUY6S,50,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
DMXNO5ITT4LF,53,ZAPOSLEN,RAZVIJAJ,22.0,4.2,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
YD9E6SDBCOFE,47,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
Q4WIL0FBPVD0,84,UMIROVLJENIK,ODRŽAVAJ,22.0,36.4,2.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
BT43KXISEEOL,48,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
YE8FD611P6I1,46,ZAPOSLEN,RAZVIJAJ,22.0,7.0,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
F6OPAR7UTJL7,47,ZAPOSLEN,RAZVIJAJ PREMIUM,22.0,13.6,8.1,56.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
MVR7BV5MK7F4,43,OSTALO,RAZVIJAJ PREMIUM,22.0,9.9,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
6GI2BPSZY0Z4,94,UMIROVLJENIK,ODRŽAVAJ,22.0,36.5,2.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
BK1K2A4MOAZL,64,ZAPOSLEN,RAZVIJAJ,22.0,4.3,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
V2PVQ95507BR,73,UMIROVLJENIK,ODRŽAVAJ,22.0,10.8,37.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 19 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
M6ZX5ZGOYPI5,47,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
L30G1EIP7VLD,59,ZAPOSLEN,RAZVIJAJ,22.0,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
EZB0QOSIEJVP,46,ZAPOSLEN,RAZVIJAJ,22.0,7.0,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
GCVTOQ0EW758,60,ZAPOSLEN,RAZVIJAJ,22.0,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
645KZZ8HDJ10,49,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
EY2HYQ3KE84C,59,ZAPOSLEN,RAZVIJAJ,22.0,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
ZYQE2N79KZVG,30,OBRTNIK,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
96YICE4C5DHQ,47,NEZAPOSLEN,RAZVIJAJ PREMIUM,22.0,14.1,20.0,36.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
NO7V23NF0DTQ,51,ZAPOSLEN,RAZVIJAJ,22.0,7.1,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
607E3EZ3QMT6,57,HONORARAC,RAZVIJAJ,22.0,4.3,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
N12RJFPKYKPU,32,STUDENT                         ,RAZVIJAJ,22.0,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
GGE99XLXAVG3,23,STUDENT                         ,RAZVIJAJ PREMIUM,22.0,20.3,2.8,55.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
1WEPI320AL3S,75,UMIROVLJENIK,ODRŽAVAJ,22.0,37.1,1.6,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 10 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,79
SUDICT7EAVTI,52,ZAPOSLEN,RAZVIJAJ,22.0,4.2,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
ZR8S8EYM5IJ2,49,ZAPOSLEN,RAZVIJAJ,22.0,7.3,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
SAXLKO8Z7V5A,58,UMIROVLJENIK,ODRŽAVAJ,22.0,37.4,0.0,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 28 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
QKTNDS1QZ76R,56,ZAPOSLEN,RAZVIJAJ PREMIUM,22.0,17.9,5.5,54.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
ZTPBW2DASS34,46,OBRTNIK,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
QHEMC21ISHOS,36,ZAPOSLEN,RAZVIJAJ,22.0,4.3,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
H058LIPH6YEQ,56,UMIROVLJENIK,ODRŽAVAJ,22.0,37.5,0.0,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 28 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
FOVA1MWHNX4L,49,ZAPOSLEN,RAZVIJAJ PREMIUM,22.0,18.5,10.0,46.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
QYRD1EYPGAGV,41,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
3H3YBI167XHJ,65,ZAPOSLEN,RAZVIJAJ,22.0,7.0,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
VAZDOUEQ44X8,48,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
NGJYYLQK8GWQ,74,UMIROVLJENIK,ODRŽAVAJ,22.0,37.5,0.0,15.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 30 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
Z7CAUKEVBJ0R,53,ZAPOSLEN,RAZVIJAJ,22.0,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
8ELDUVT3208H,47,ZAPOSLEN,RAZVIJAJ PREMIUM,22.0,29.6,0.2,46.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
772QHLXD7N8S,54,ZAPOSLEN,RAZVIJAJ,22.0,4.2,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
YV6UDQAAQEYW,49,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
1W0PD6GESGT9,57,ZAPOSLEN,RAZVIJAJ PREMIUM,22.0,10.5,14.4,50.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
AAS56RZMC5O2,57,ZAPOSLEN,RAZVIJAJ,22.0,4.4,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
NM02YLF5ER9G,58,ZAPOSLEN,RAZVIJAJ,22.0,4.3,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
1AS2D8814IFY,45,ZAPOSLEN,RAZVIJAJ,22.0,0.0,20.0,56.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
1WEPI320AL3S,75,UMIROVLJENIK,ODRŽAVAJ,22.0,37.1,1.6,13.5,2,Oročeni depozit — posebna kamata za lojalne,"Stanje 3,679€ slobodnih sredstava",Stabilizacija depozitne baze,HPB mobilna aplikacija,45
KSYSSHQQPEJN,63,UMIROVLJENIK,ODRŽAVAJ,21.9,23.4,25.8,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 3 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,26
EK9ETH9RH3AS,61,ZAPOSLEN,RAZVIJAJ,21.9,6.7,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
R4HPQNXQU1S0,84,UMIROVLJENIK,ODRŽAVAJ,21.9,36.0,2.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 19 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
VCH8JY7B9PGP,82,UMIROVLJENIK,ODRŽAVAJ,21.9,36.0,2.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 18 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
3NWH9C6CV7IK,45,ZAPOSLEN,RAZVIJAJ,21.9,7.0,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
BQHASLUSJ3HY,87,UMIROVLJENIK,ODRŽAVAJ,21.9,30.2,20.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 13 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,93
JJRL3R5S27T7,83,UMIROVLJENIK,ODRŽAVAJ,21.9,38.7,0.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 27 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
ZKCTK0Q6TI82,64,UMIROVLJENIK,ODRŽAVAJ,21.9,35.3,2.9,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 18 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
0SA25CH4D6V9,58,ZAPOSLEN,PRATI,21.9,8.5,27.8,31.0,1,Gotovinski kredit — automatski push,"Prihodi 527€/mj., bez kredita — niska akvizicija, visoka kamatna marža",Visoka kamatna stopa,HPB mobilna aplikacija (automated),30
ZEM0QEJGA1N7,69,UMIROVLJENIK,ODRŽAVAJ,21.9,10.5,37.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 20 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
9W030YMFI9RW,71,UMIROVLJENIK,ODRŽAVAJ,21.9,30.2,20.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 17 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
UVGRGBO3AV8M,43,ZAPOSLEN,RAZVIJAJ PREMIUM,21.9,9.7,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
RXEVUUV7BWJS,53,ZAPOSLEN,RAZVIJAJ PREMIUM,21.9,10.6,2.4,69.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
LDT6B8JMM6BW,44,ZAPOSLEN,RAZVIJAJ,21.9,7.0,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
URGKUGITD66H,84,UMIROVLJENIK,ODRŽAVAJ,21.9,36.2,2.2,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 19 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
OPNA700T3966,68,ZAPOSLEN,RAZVIJAJ PREMIUM,21.9,9.7,20.0,42.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
Q451NC4ZUCLI,77,UMIROVLJENIK,ODRŽAVAJ,21.9,36.4,2.0,13.5,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 17 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
LGMNJK1OP9BY,61,ZAPOSLEN,ODRŽAVAJ,21.9,20.3,20.0,27.0,1,Loyalty nagrada — zahvala za dugoročnu lojalnost,Klijent 17 god. u HPB-u — personalizirana nagrada za vjernost,Retencija | Smanjen churn,HPB mobilna aplikacija,100
GPLO3FSV5I4O,64,ZAPOSLEN,RAZVIJAJ,21.9,6.8,20.0,46.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
RP35FWWFXXTA,50,NEZAPOSLEN,RAZVIJAJ PREMIUM,21.9,14.0,20.0,36.0,1,Nagrada putem aplikacije — premium loyalty status,Stabilan i vrijedan klijent — dodjela premium statusa u aplikaciji povećava vezanost,Cross-sell temelj | Retencija,HPB mobilna aplikacija,85
7JIYQMBQ7X4H,59,ZAPOSLEN,RAZVIJAJ,21.9,4.1,20.0,50.0,1,Nagrada putem aplikacije — onboarding bonus,Klijent s potencijalom za rast — digitalni onboarding bonus potiče dublje korištenje banke,Engagement | Cross-sell temelj,HPB mobilna aplikacija,70
